"source","intensity","distance","X","Total","Yes","userID","Correct","signal"
"JND-in-Charts/rawdata/bar/100_119.csv",200,93,205,10,8,"100_119",8,5
"JND-in-Charts/rawdata/bar/100_119.csv",200,177,193,10,2,"100_119",8,-7
"JND-in-Charts/rawdata/bar/100_119.csv",200,177,194.625,10,2,"100_119",8,-5.375
"JND-in-Charts/rawdata/bar/100_119.csv",200,177,196.25,10,4,"100_119",6,-3.75
"JND-in-Charts/rawdata/bar/100_119.csv",200,177,197.875,10,2,"100_119",8,-2.125
"JND-in-Charts/rawdata/bar/100_119.csv",200,177,199.5,10,4,"100_119",6,-0.5
"JND-in-Charts/rawdata/bar/100_119.csv",200,177,200.5,10,5,"100_119",5,0.5
"JND-in-Charts/rawdata/bar/100_119.csv",200,177,202.125,10,6,"100_119",6,2.125
"JND-in-Charts/rawdata/bar/100_119.csv",200,177,203.75,10,7,"100_119",7,3.75
"JND-in-Charts/rawdata/bar/100_119.csv",200,177,205.375,10,3,"100_119",3,5.375
"JND-in-Charts/rawdata/bar/100_119.csv",200,177,207,10,9,"100_119",9,7
"JND-in-Charts/rawdata/bar/100_119.csv",200,261,192,10,4,"100_119",6,-8
"JND-in-Charts/rawdata/bar/100_119.csv",200,261,193.875,10,4,"100_119",6,-6.125
"JND-in-Charts/rawdata/bar/100_119.csv",200,261,195.75,10,7,"100_119",3,-4.25
"JND-in-Charts/rawdata/bar/100_119.csv",200,261,197.625,10,5,"100_119",5,-2.375
"JND-in-Charts/rawdata/bar/100_119.csv",200,261,199.5,10,5,"100_119",5,-0.5
"JND-in-Charts/rawdata/bar/100_119.csv",200,261,200.5,10,4,"100_119",4,0.5
"JND-in-Charts/rawdata/bar/100_119.csv",200,261,202.375,10,5,"100_119",5,2.375
"JND-in-Charts/rawdata/bar/100_119.csv",200,261,204.25,10,5,"100_119",5,4.25
"JND-in-Charts/rawdata/bar/100_119.csv",200,261,206.125,9,4,"100_119",4,6.125
"JND-in-Charts/rawdata/bar/100_119.csv",200,261,208,10,7,"100_119",7,8
"JND-in-Charts/rawdata/bar/100_119.csv",200,345,191,10,4,"100_119",6,-9
"JND-in-Charts/rawdata/bar/100_119.csv",200,345,193.125,10,3,"100_119",7,-6.875
"JND-in-Charts/rawdata/bar/100_119.csv",200,345,195.25,10,6,"100_119",4,-4.75
"JND-in-Charts/rawdata/bar/100_119.csv",200,345,197.375,10,4,"100_119",6,-2.625
"JND-in-Charts/rawdata/bar/100_119.csv",200,345,199.5,10,5,"100_119",5,-0.5
"JND-in-Charts/rawdata/bar/100_119.csv",200,345,200.5,10,7,"100_119",7,0.5
"JND-in-Charts/rawdata/bar/100_119.csv",200,345,202.625,10,5,"100_119",5,2.625
"JND-in-Charts/rawdata/bar/100_119.csv",200,345,204.75,10,5,"100_119",5,4.75
"JND-in-Charts/rawdata/bar/100_119.csv",200,345,206.875,10,7,"100_119",7,6.875
"JND-in-Charts/rawdata/bar/100_119.csv",200,345,209,10,5,"100_119",5,9
"JND-in-Charts/rawdata/bar/100_119.csv",250,9,248,10,1,"100_119",9,-2
"JND-in-Charts/rawdata/bar/100_119.csv",250,9,248.475,10,2,"100_119",8,-1.52500000000001
"JND-in-Charts/rawdata/bar/100_119.csv",250,9,248.95,10,3,"100_119",7,-1.05000000000001
"JND-in-Charts/rawdata/bar/100_119.csv",250,9,249.425,10,2,"100_119",8,-0.574999999999989
"JND-in-Charts/rawdata/bar/100_119.csv",250,9,249.9,10,7,"100_119",3,-0.0999999999999943
"JND-in-Charts/rawdata/bar/100_119.csv",250,9,250.1,10,5,"100_119",5,0.0999999999999943
"JND-in-Charts/rawdata/bar/100_119.csv",250,9,250.575,10,4,"100_119",4,0.574999999999989
"JND-in-Charts/rawdata/bar/100_119.csv",250,9,251.05,10,5,"100_119",5,1.05000000000001
"JND-in-Charts/rawdata/bar/100_119.csv",250,9,251.525,10,8,"100_119",8,1.52500000000001
"JND-in-Charts/rawdata/bar/100_119.csv",250,9,252,10,8,"100_119",8,2
"JND-in-Charts/rawdata/bar/100_119.csv",250,93,245,10,4,"100_119",6,-5
"JND-in-Charts/rawdata/bar/100_119.csv",250,93,246.125,10,2,"100_119",8,-3.875
"JND-in-Charts/rawdata/bar/100_119.csv",250,93,247.25,10,5,"100_119",5,-2.75
"JND-in-Charts/rawdata/bar/100_119.csv",250,93,248.375,10,3,"100_119",7,-1.625
"JND-in-Charts/rawdata/bar/100_119.csv",250,93,249.5,10,5,"100_119",5,-0.5
"JND-in-Charts/rawdata/bar/100_119.csv",250,93,250.5,10,5,"100_119",5,0.5
"JND-in-Charts/rawdata/bar/100_119.csv",250,93,251.625,10,7,"100_119",7,1.625
"JND-in-Charts/rawdata/bar/100_119.csv",250,93,252.75,10,8,"100_119",8,2.75
"JND-in-Charts/rawdata/bar/100_119.csv",250,93,253.875,11,6,"100_119",6,3.875
"JND-in-Charts/rawdata/bar/100_119.csv",250,93,255,10,8,"100_119",8,5
"JND-in-Charts/rawdata/bar/100_119.csv",250,177,243,10,4,"100_119",6,-7
"JND-in-Charts/rawdata/bar/100_119.csv",250,177,244.625,10,4,"100_119",6,-5.375
"JND-in-Charts/rawdata/bar/100_119.csv",250,177,246.25,10,3,"100_119",7,-3.75
"JND-in-Charts/rawdata/bar/100_119.csv",250,177,247.875,10,4,"100_119",6,-2.125
"JND-in-Charts/rawdata/bar/100_119.csv",250,177,249.5,10,4,"100_119",6,-0.5
"JND-in-Charts/rawdata/bar/100_119.csv",250,177,250.5,10,3,"100_119",3,0.5
"JND-in-Charts/rawdata/bar/100_119.csv",250,177,252.125,10,7,"100_119",7,2.125
"JND-in-Charts/rawdata/bar/100_119.csv",250,177,253.75,10,8,"100_119",8,3.75
"JND-in-Charts/rawdata/bar/100_119.csv",250,177,255.375,10,7,"100_119",7,5.375
"JND-in-Charts/rawdata/bar/100_119.csv",250,177,257,10,7,"100_119",7,7
"JND-in-Charts/rawdata/bar/100_119.csv",250,261,242,9,2,"100_119",7,-8
"JND-in-Charts/rawdata/bar/100_119.csv",250,261,243.875,11,3,"100_119",8,-6.125
"JND-in-Charts/rawdata/bar/100_119.csv",250,261,245.75,10,2,"100_119",8,-4.25
"JND-in-Charts/rawdata/bar/100_119.csv",250,261,247.625,10,4,"100_119",6,-2.375
"JND-in-Charts/rawdata/bar/100_119.csv",250,261,249.5,10,5,"100_119",5,-0.5
"JND-in-Charts/rawdata/bar/100_119.csv",250,261,250.5,10,3,"100_119",3,0.5
"JND-in-Charts/rawdata/bar/100_119.csv",250,261,252.375,11,6,"100_119",6,2.375
"JND-in-Charts/rawdata/bar/100_119.csv",250,261,254.25,10,9,"100_119",9,4.25
"JND-in-Charts/rawdata/bar/100_119.csv",250,261,256.125,10,9,"100_119",9,6.125
"JND-in-Charts/rawdata/bar/100_119.csv",250,261,258,10,4,"100_119",4,8
"JND-in-Charts/rawdata/bar/100_119.csv",250,345,241,10,4,"100_119",6,-9
"JND-in-Charts/rawdata/bar/100_119.csv",250,345,243.125,10,5,"100_119",5,-6.875
"JND-in-Charts/rawdata/bar/100_119.csv",250,345,245.25,10,2,"100_119",8,-4.75
"JND-in-Charts/rawdata/bar/100_119.csv",250,345,247.375,10,2,"100_119",8,-2.625
"JND-in-Charts/rawdata/bar/100_119.csv",250,345,249.5,10,5,"100_119",5,-0.5
"JND-in-Charts/rawdata/bar/100_119.csv",250,345,250.5,10,6,"100_119",6,0.5
"JND-in-Charts/rawdata/bar/100_119.csv",250,345,252.625,10,5,"100_119",5,2.625
"JND-in-Charts/rawdata/bar/100_119.csv",250,345,254.75,9,5,"100_119",5,4.75
"JND-in-Charts/rawdata/bar/100_119.csv",250,345,256.875,10,5,"100_119",5,6.875
"JND-in-Charts/rawdata/bar/100_119.csv",250,345,259,10,5,"100_119",5,9
"JND-in-Charts/rawdata/bar/102_133.csv",50,9,48,10,1,"102_133",9,-2
"JND-in-Charts/rawdata/bar/102_133.csv",50,9,48.475,10,2,"102_133",8,-1.525
"JND-in-Charts/rawdata/bar/102_133.csv",50,9,48.95,10,1,"102_133",9,-1.05
"JND-in-Charts/rawdata/bar/102_133.csv",50,9,49.425,10,2,"102_133",8,-0.575000000000003
"JND-in-Charts/rawdata/bar/102_133.csv",50,9,49.9,10,4,"102_133",6,-0.100000000000001
"JND-in-Charts/rawdata/bar/102_133.csv",50,9,50.1,10,6,"102_133",6,0.100000000000001
"JND-in-Charts/rawdata/bar/102_133.csv",50,9,50.575,10,6,"102_133",6,0.575000000000003
"JND-in-Charts/rawdata/bar/102_133.csv",50,9,51.05,10,7,"102_133",7,1.05
"JND-in-Charts/rawdata/bar/102_133.csv",50,9,51.525,10,3,"102_133",3,1.525
"JND-in-Charts/rawdata/bar/102_133.csv",50,9,52,10,9,"102_133",9,2
"JND-in-Charts/rawdata/bar/102_133.csv",50,93,45,9,1,"102_133",8,-5
"JND-in-Charts/rawdata/bar/102_133.csv",50,93,46.125,9,2,"102_133",7,-3.875
"JND-in-Charts/rawdata/bar/102_133.csv",50,93,47.25,10,1,"102_133",9,-2.75
"JND-in-Charts/rawdata/bar/102_133.csv",50,93,48.375,10,3,"102_133",7,-1.625
"JND-in-Charts/rawdata/bar/102_133.csv",50,93,49.5,10,5,"102_133",5,-0.5
"JND-in-Charts/rawdata/bar/102_133.csv",50,93,50.5,10,8,"102_133",8,0.5
"JND-in-Charts/rawdata/bar/102_133.csv",50,93,51.625,10,5,"102_133",5,1.625
"JND-in-Charts/rawdata/bar/102_133.csv",50,93,52.75,10,6,"102_133",6,2.75
"JND-in-Charts/rawdata/bar/102_133.csv",50,93,53.875,10,3,"102_133",3,3.875
"JND-in-Charts/rawdata/bar/102_133.csv",50,93,55,10,6,"102_133",6,5
"JND-in-Charts/rawdata/bar/102_133.csv",50,177,43,10,0,"102_133",10,-7
"JND-in-Charts/rawdata/bar/102_133.csv",50,177,44.625,10,2,"102_133",8,-5.375
"JND-in-Charts/rawdata/bar/102_133.csv",50,177,46.25,10,3,"102_133",7,-3.75
"JND-in-Charts/rawdata/bar/102_133.csv",50,177,47.875,10,3,"102_133",7,-2.125
"JND-in-Charts/rawdata/bar/102_133.csv",50,177,49.5,10,5,"102_133",5,-0.5
"JND-in-Charts/rawdata/bar/102_133.csv",50,177,50.5,10,7,"102_133",7,0.5
"JND-in-Charts/rawdata/bar/102_133.csv",50,177,52.125,10,5,"102_133",5,2.125
"JND-in-Charts/rawdata/bar/102_133.csv",50,177,53.75,10,7,"102_133",7,3.75
"JND-in-Charts/rawdata/bar/102_133.csv",50,177,55.375,10,7,"102_133",7,5.375
"JND-in-Charts/rawdata/bar/102_133.csv",50,177,57,10,7,"102_133",7,7
"JND-in-Charts/rawdata/bar/102_133.csv",50,261,42,12,1,"102_133",11,-8
"JND-in-Charts/rawdata/bar/102_133.csv",50,261,43.875,10,2,"102_133",8,-6.125
"JND-in-Charts/rawdata/bar/102_133.csv",50,261,45.75,10,5,"102_133",5,-4.25
"JND-in-Charts/rawdata/bar/102_133.csv",50,261,47.625,10,6,"102_133",4,-2.375
"JND-in-Charts/rawdata/bar/102_133.csv",50,261,49.5,10,7,"102_133",3,-0.5
"JND-in-Charts/rawdata/bar/102_133.csv",50,261,50.5,10,5,"102_133",5,0.5
